describe_discussion_employer,describe_discussion_coworker,describe_coworker_discussion_coworker,describe_discussion_previous_employer,describe_discussion_previous_coworker,describe_previous_coworker_discussion_coworker,PH_during_interview_why,MH_during_interview_why,describe_negative_reaction,describe_industry_AOI,other_comments
,,,,,,Fear of not getting the job,Fear of not getting the job,,,
,I mentioned to a coworker that I had taken a day off because of a panic attack and we talked about our mutual experiences with anxiety.  This coworker was very supportive.,"After admitting to a coworker that I missed a day of work due to a panic attack, this coworker shared a story of their own struggles with anxiety and we discussed the mental health policies here at work.",,At my previous employment many of my coworkers and I discussed our level of stress.  ,The mental health of our Director was discussed often.  They stress level of other coworkers often came up in conversations.,I think it would depend on whether or not I felt I could get along without mentioning it.  I would be uncertain about how it would affect my getting hired or not.  I might be tempted to not say anything until after I had been doing the job well for a while.,See above but even more so.  I would be very uncomfortable discussing a mental health issue with someone I didn't know well.,A coworker recently took a leave of absence for mental health issues and management told the entire workforce this was happening.  There was a meeting with this coworker that was not private and observed by other employees and it was a heated meeting with raised voices and discussion.,Having a clear mental health policy that is well known by all.  Providing privacy for discussion.  Providing anonymity for people dealing with mental health issues.  Talking about the importance of mental health.  Taking steps to ensure mental health is maintained.,
,,,,,,If it was relevant to the job I would feel it was necessary to bring it up.,I believe if I had a mental health issue and brought it up it might jeopardize the interview.,,,
,,,,,,,,,,
,,,,,,,,,,
I let them know about my mental health condition so that they could be appropriately prepared should anything happen.,I shared my mental health status with my coworkers so they could be prepared should anything ever happen.,Another coworker shared their undiagnosed mental health struggles with me.,,,,Potential employers don't need to know about my physical health.,Potential employers don't need to know about my mental health.,,"The tech industry fails to address mental health adequately by failing to recognize that mental health issues affect cognitive abilities, and those cognitive abilities are what make our jobs work.",
"I had to take a personal day to deal with stress and grief. It wasn't following anything in particular, so I felt a little awkward but she was very understanding and urged me to take the time I needed. ","This is hard because there are some coworkers that are VERY easy to talk to, and it's no big deal to talk about anxiety, depression, whatever. Others are more standoffish and not as emotionally available.  I would only discuss it with them if it impacted my work, and in the context of what I was doing to get better. ","I have a handful of close friends at work. As creatives, I think it's a given that we all struggle with deep insecurity and depression to some extent. As far as I'm concerned, there's very little stigma - it's almost a given. ",,,,That's covered over HIPAA.  It's also none of their business.  ,Same reasons apply. ,,I think competition and ego drives a lot of people to prioritize work over mental health.  The tech industry doesn't do much to discourage that practice.   There's also a ton of toxic masculinity that leads to a culture of hostility towards emotional responses or acknowledging mental illness. ,"I think my company may be a bit of an outlier, and while I technically work in tech, I wonder if my experiences are pretty unique to being a creative within the field. "
,I've talked about depression and imposter syndrome. Mostly received empathy and admissions that they have dealt or are dealing with the same thing.,I've had folks talk about depression and imposter syndrome. ,,I've talked about depression and imposter syndrome. Mostly received empathy and admissions that they have dealt or are dealing with the same thing.,They've talked about depression and imposter syndrome. ,"If it doesn't keep me from doing my job, I don't think it's worth sharing.",For fear of not getting the job.,,"Less stigmatism, and more understanding. Better options to seek treatment. Less expensive options for treatment.",No
,I confided in a coworker (seeking advice) regarding some anxiety issues I was experiencing,"Similar to my issues, they were seeking some advice and / or a kind ear",,"Similar to the previous situation, with individuals I was comfortable with. . . seeking advice",Same as above,"Fear of judgment or potential impact on my ""hire-ability""",Same as above,,"Make treatment options more widely known, work to decrease stigma surrounding such issues",
,Talking about anxiety and their reaction was to mention their own similar problems,,,,,If it does not impact my ability to work it's not their business,Not their business at that particular time,,They could offer better benefits and estimate timelines better (or offer some flexibility) so that people are able to take time to take care of themselves,
,,,,,,Never bring up any physical or mental health issues.  HR doesn't want a prospective employee with problems.,"Mental illness is seen as a weakness and in the Bay Area its not even something that is understood or spoken openly about.  The bottom line is all that counts.  They want people who produce, not someone who has a chronic illness that may need time off and adjustments in work schedules.",Comments about mentally ill people,"Society as a whole doesn't understand or support mental illness. I just saw my primary care doctor at Kaiser, and he told me to ""get back to work soon"" while I am fighting for a reason to keep on going with this severe depressive episode (I have bipolar 2)","I wish we could change things, but the bottom line will always matter in the private sector, not the well being of employees.  Money talks.  Employers and managers don't care about your well being, they need employees who can produce and be reliable.  Period.  The bottom line....this is a capitalistic society and if you have a mental illness, you are better off moving to a socialistic society so you at least have health care and are taken care of.  I might move to Canada :)"
,,A notification and discussion,,,,Not comfortable,Not comfortable,,,
,"It was with one co-worker who also experiences anxiety and depression, so it was an easy conversation. ","As I said above, we both have experienced anxiety and depression, so it was an easy conversation. ",,"We were friends outside of work and it came up casually. Their reaction was normal, they also have experienced mental health issues.",It was in a casual conversation outside of work.,I don't think it is the place to bring that up unless it directly affects my ability to perform the job.,I don't think that is the appropriate place to bring it up and some people have stigmas around mental health that I wouldn't want to affect my chance at getting the job.,,,
"There have been several, mostly just- I have been depressed and needed time to rest.",Same as above- we have a mental health slack channel where we share our experiences. ,"In the mental health slack room we discuss our mental health a lot- usually sharing ""hey I'm overwhelmed today"" or ""my SAD is really heavy right now"" or something similar","It was pretty terrible- I said I'd been feeling depressed and they said ""well that's sad but I don't really get it""","More of a general ""i've been anxious/depressed"", normally not too many specifics",,I feel that it would hurt my chances of getting the job- it would bring baggage in the door,Same as before- baggage leading to not being hired. ,,I think a lot more conversation and openness- employers and teammates treating mental health as seriously as physical health,Thanks for doing this!
I let my supervisor know I was starting an SSRI.,,,,,,,,,,
"I suffered from depression and anxiety last year due to a number of circumstances, and needed both to take a week from work, as well as recurring time for visits to my therapist. My supervisor had no problems with this, and checked in with me from time to time over the next few months to see how things were going for me.","During the same time that I was speaking with my supervisor, I also spoke with my team. The team was supportive.",,,,"My coworker suffered from depression and anxiety, and wanted the rest of the team to know so that they could understand some of his absences, and some of his interactions with each of us. I used this conversation as a way to check in on him periodically, and help make the environment more accepting and comfortable.","If that physical health issue could potentially impact my day-to-day ability to work, I would want them to know that information in order to find out what accommodations they have.","Mental health affects my ability to work. I would want to know if the environment is supportive, provides resources, and accommodates my well-being.",,"I feel there's not enough awareness around mental health issues in general, nor their impact on developers. In particular, anxiety and depression can lead to a spiraling situation where one does not feel capable of doing the work. Having supportive co-workers who can both pick up the slack, as well as coach you through those times, can make a huge difference to the organization as a whole. Feeling both like you belong and are accepted is a huge step for many.",
,,Direct report and I frequently talk about his depression and going to therapy,,,,I want to know if I have the flexibility to go to routine 6 month follow up appointments,wouldn't want them to judge me negatively for that or worry that it might affect my performance,,,
,,,,,,It may impact their likelihood to offer me the job.,It may impact the likelihood of that employer offering me the job.,,,
,,,,,,"They could potentially see that as ""too much work"" and not hire me.",The interviewer may think the mental health issue would make me worse at my job.,,Help employees not feel ashamed of it., 
,"They would sometimes share their issues as well. Not usually surprised, maybe a bit more understanding afterwards.",Mostly reciprocating their issues.,I described my issues to communicate how I beat worked with people. This helped.,,,Might not get the job.,Might not get the job.,,Make it clear that there is no punishment or reprisal.,
,it was with a close friend. it was a brief conversation about my experience with depression and helping others. Gave her information on where she could get help/learn more.,Same conversation as before,,,,I would be willing to only if it would affect my day-to-day ability to get work done. and if they could help with it somehow,"Lack of trust....stigma associated. Especially if they were an older or more ""traditional"" individual. Might disclose to a millennial or woman.",,it's not enough to have services / benefits available. It's about actively encouraging good behaviors/positive reinforcement,
,,,I was terminated,,,Better that they know,Depends on the vibe,It caused much walking on eggshells,?,No
,,,,,,Fear of prejudice,Fear of prejudice,,,
,,,,,,Would make discrimination possible,Would make me appear lazy,Coworker with impending burnout was not given room to recover. They quit instead.,"A work place culture that respects personal life is most important: flexible schedules, work from home, asynchronous communication that can be silenced when off duty, …. Quiet working conditions also reduce stress. Teams that enjoy working together are good for all involved.",
,,,,,,,,,,
"Was going through a particularly tough spell not long after I started in the job and got extremely irritable to the point it was noticed by others.  A day or two later I took my manager to the side and told him what had been happening and that I suffer from depression and anxiety.  My managers reactions were somewhat of disbelief, he said that until that incident (which he put down to just having a couple of bad days with tough deadlines) he never would have thought I suffered from mental health issues as I'm usually very upbeat in the office.  Was told to not feel it's something I need to hide away and that if I ever needed time to myself that it would be arranged.","Same incident as above, I had been particularly rude to one colleague and felt that I owed her an apology.  In the course of apologising I explained about my mental health issues.  She initially reacted along the lines of 'we all feel down from time to time' until she realised that I was actually suffering from a diagnosed illness and not self diagnosed.",,,,,Has no place in an interview if it's not related to the job,Has no place in an interview if it's not related to the job,,Employers need to make a real effort to support their employees who may be going through mental health issues,
"Talking about suffering with psychosis, employer was fully supportive and encouraged time off.",,,Painful as they didn't understand nor support me,,,"Openness is the best policy, if  you don't get the job because of a physical condition then they aren't worth your time.","Openness is the best policy, if  you don't get the job because of a mental condition then they aren't worth your time.",I was  bullied due to my mental health disorder.,"Be more open about it, talk about it.",
,,"he told me, the work crushes him, he needs a break. sorry, I don't know if this qualifies as discussion about his mental health",,,,"imo, the employer has a right to know","depends on the situation, but it would be the right  thing to do","previous coworker had a burnout, some other coworkers talked about ""she is just chilling at home, she could work more""","maybe stop with the ""indestructible tech guys"" myth, show the employees that it's ok to be vulnerable","where i'm from, I think these issues are as good as never discussed. This should change and with your work, this may be possible one day. thank you!"
We talked about the status and the combination of my private and professional live. The things that happen en how we suspect that it will change,We talked about the temporary stress from my private live and the influence to my professional work,"We talked about the hapiness of the person, the parts he/she liked and the parts he/she didn't like. The effect on his/here private and professional live",,,,"I don't like talking about health issues, especially if I don't really know them","I don't like talking about health issues, especially if I don't really know them",,The most people I see in the industry don't like to talk about it. That makes it difficult to improve the support. As long as there is a safe place with people you know good it is possible.,
,,,"Communicated that my capacity to work and availability was impaired, following death in the family. Reaction was verbally supportive, no specific actions taken.","Mentioned being down and unproductive at different times. Reactions were usually verbally supportive, but not really eager to get into details.",,If it's relevant to my availability.,"Same, if it's relevant to my availability.",,Make explicit effort to gauge if employees have ongoing issues and how work environment/situation might impact and be impacted by that.,
It was  about an Asperger's test but in the context of my divorce,Discussing Asperger's test with colleague who's boyfriend had Aspergers,Noticing odd behaviour and ways to avoid provoking them. Not suggesting trying to help just avoiding impact on self,,,,"Seem as negative, tech doesn't really require much physical health","Seen as negative, am trying to sell my virtues not issues.  I am a tester so I will make allusions to OCD as humour",,"Allow for recognition of crisis days , allow working from home and other flexible was to reduce impacts of issues","Over ambitious growth plans usually ruin employees lives , I want to work smart not hard."
,,,,,,,,,,
,,,,,"nothing serious, just going through divorce and how it affects their productivity at work.","mostly, no one can tell if you have a mental disorder or issues the way i talk and behave. if they ask me, i might share something but its never the topic of an interview in India. employers dont care how messed you are in your head when you are on the job so more likely they dont care while taking your interview.",,,"less deadlines and they should understand work is always going to be there so not to label any work as urgent and ask someone to do overtime and accept what they deliver in office hour as work for the day. lunch time to be 1 hour than 30 minutes in most offices. many of my colleagues eats at their desk staring at their emails or doing some sort of office work, not productively but i can see the stress of not being able to eat at proper lunch time and in bit of peace. ",no one really know that they should be getting health benefits from their employer. so support for mental illness is out of the question.
,,,,,,,,,,
,,,,,,,,,,
,,,,"Sorry, don't remember re: co-workers (2001 & before)","Again, too long ago to remember.  Late 80s, 2 different guys, both gay, was related to that (I'm not, and I'm female)","Would depend on the physical health issue, it's current state, whether it might be perceived inappropriately negatively.","I stopped working in the high tech industry after being unsuccessful at getting another job after turning 50 (of course, there was a dotcom bust, too... but I'd never had problems the 20+ years prior.  So - if I can have difficulty getting a job because of age, not sure how well mental health issues would go over.
(now, combine that with age and you've really got some interesting issues.)","Very stressful project; revealed to boss who had wanted me to work even more hours somewhat prior to reveal.  I was fired (contract), and boss didn't even have the courtesy to tell me.  Another member of the cross-functional team ended up with significant mental health issues due to the stress.","Good question.  Maybe they could make it more supportive for women, first?  Maybe it would help both.","As things become more automated, more outsourced, US workers will continue to find it harder to get jobs if they don't fit into the mold, imnsho."
,,,,,,,,,,
,,,,,,,,,,
,,,,,,Would it be relevant to the role?,"Again, would it be relevant to the role",,,
General discussion about mental health. No specifics about how it translates in the work place.,,,,,,If it had the possibility of affecting my work,Fear of judgement and not getting the job,,"Tools, resources, open communication",
,,discussed effects of stresss,,,,"An employer should not be asking about mental or physical health issues, only ability to perform functions required by the job description.","An employer should not be asking about mental or physical health issues, only ability to perform functions required by the job description.",,"Treat it essentially the same as physical health issues.  Make it clear that mental and physical health of employees is important, and provide information to support both.",I am answering no to the next question because I do not believe I have any useful input on the topic.
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"A medical issue which hand metal health implications, told me to take the time i need to sort myself out.",,,,,,If it was relevant ,Again if i felt it was relevant ,,Openly discuss and provide resources on metal health issues,
"Discussed issue(s) that I needed support with, options were presented and understanding reached that I needed to be located in a certain place for continued appointments so travel was limited and projects assigned with that in mind.",Selective disclosure with certain people I feel I can trust.  Reactions have been mixed.,I have had discussions about ongoing and past experiences of mental health disorders and issues.,Reactions usually involved diminishing my experience and no action taken,,This was not often out of the context of making my own experience seem small and insignificant.,It's not relevant and illegal for them to discriminate at that point depending on the nature of the issue,Not relevant,"Saying no to an activity being ignored, until forced to disclose to justify saying no.  Then still coerced into doing the activity or told they didn't understand why not still.","Talking more openly and normalising openness and discussion.
Have leaders speak out about their experience with mental health problems.
Mental Health First Aid programs in workplaces.",
,,,,,Just a little description about mental stress,"It depends of the kind of issue, if it is personal I'll just leave it, or if does not interfere with it.",Because this kind of issues are taboo,,"First of all learning about it, and then talking more with his employees.",
,"Talked about burnout, both my own and avoiding burn out in our team.","Coworker talked about their experience with PTSD.
Another talked about struggling with a current depressive episode.",,,,,,,,
,,,,,,No point to do so,No point to do so,,No clue,
,,A colleague of mine has type 2 bipolar and recently mentioned it in response to general feelings in the office.,,,,I feel that a physical health issue would be more obvious and easier to bring up.,"That would probably be a judgement call at the time. It's hard for me to consider though, as I do not have a mental health issue.",,Talk about it more.,
,,Told me of the problem and asked my advice,,,,It would depend on the circumstance.  How much I felt safe to do so without it interfering with the job prospect.,Same reason as physical,,"less crunch, more time to do non-work related things.",
,,,,,,"If it has no relevance to the job, there is no reason to",,,,
,,,,,,,Duh!,,,
,,,,,,,,,,
,,She had a depression and told me she was going to ask her doctor (from the public health system) for a temporary leave. We are good friend so I was informed by her about her status during her leaving. ,,,,It's none of their business. I think our laws protect us from having to declare health issues in an interview ,"For the same reason :it's not legal to ask for health, mental or physical at an interview. I would never do that ","A colleague had a leaving because depression, and coworkers were talking about her as if the problem she had was not important at all",More empathy is needed. ,
,,,,,,It would depend on the physical health issue and how it would affect my ability to work,It would also depend on how it would affect my work and how receptive I felt the employer would be.,,Industry-wide I still don't see it talked about much outside of people  know who interact with OSMI.,
,,,,,,not getting the job,not getting the job,,,
,,,,,,,,,,
"I have discussed grief related to the terminal illness of a parent, and have been very well-supported, including having the ability to take hours, days, or weeks off from work if necessary.",,,,,,I would be worried about it affecting their willingness to hire me.,I would be worried that it would affect their interest in hiring me.,"I was fired from a job I'd had for several years, and was told I didn't seem ""happy"" there, three months after receiving a very positive performance review. Nobody had ever asked after my well-being during the entire course of my employment.",Talk about it openly and often. Offer services.,
,,,,,,,,,Just have a base health insurance model. This applies mostly to non-EU companies.,
,,,,,,,,,,
,,"In Slack, a coworker stated he was depressed and needed the teams help understanding that.",,,,The closest thing I have experienced related to a physical health issue is being pregnant. There is no way I would ever bring up being pregnant in an interview situation. Seems like an automatic way to NOT get a job.,Fear of that negatively affecting their opinion towards me and the work I can do.,"This was at a previous employer. In retrospect, I think I suffered from some post-partum anxiety and post-partum depression after the birth of my first child. My leave was pretty short (6 weeks) and after 10 weeks when I would literally be crying at standup half the time, I was told I wasn't ramping up fast enough. I was the first woman on the team and the only mom that had ever been on the team, and honestly, because it was my first, I did not fully realize the extent of the post-partum issues, but there was also no support or recognition for them and, in fact, the additional pressure placed on me probably drove me into a worse spot for a little less than a year before I could think more clearly, recognize what was happening, etc.","I think this depends on the company. My former company(ies) were pretty bad. My current company is excellent. We have a mental health channel in slack, mental health benefits are often and openly discussed, both in-patient and out-patient services. Folks are encouraged to take mental health days if necessary and encouraged to discuss what they're going through with others. That being said, the company is facing a tough financial time so recently, the encouragement to take PTO, etc. has decreased and stress level has increased.","It was a little difficult for me to answer some of the questions related to mental health disorders because something like post-partum related issues are often for a short period of time so it's not a lifelong depression or something you struggle with all the time, but it is a huge mental health issue (and something that's generally not covered by insurance making it even more difficult to provide resources for)."
"We only have an HDHP and I find it difficult to justify therapy and mental healthcare when I will otherwise come nowhere near my deductible. Only preventive care is covered before the deductible. After the deductible everything is covered 100%. I would rather sign up for a PPO, because even if premiums are higher, it's a commitment to my mental wellness for the year and I don't have to decide if I'm worth it on a weekly basis. I also felt we weren't doing enough to promote mental wellness, especially bc the company prides itself on being a great place to work with tons of benefits. I addressed it with them in summer 2015. No action was taken for the 2016 or 2017 plan year. But for 2018 they are offering a PPO and an interest-free loan for low earners who are concerned with cash flow for the HDHP plan.",I have multiple mental disorders and am very open about it in hopes of normalizing them. Everyone has been receptive and this has also encouraged others to discuss issues. But some people without mental disorders act like there's no stigma anymore and that it shouldn't be a big deal to talk about.,They told me they had similar experiences that I had spoken about and were looking for guidance and connection.,,,,I don't want to be seen as difficult or needing accommodation.,"It shouldn't factor into the decision. I don't feel the need to talk about it. And while they're not allowed to take that into account, people are ruled by emotions and could lean harder into criticisms they are allowed to hold.","Previous workplace: not being checked in with when red flags come up, not being allowed to take mental wellness days, mocked for bringing the idea up and seen as unable to deal with stress.",Educate employees about mental health and what wellness looks like. Encourage them to regularly check in with themselves and maybe complete self-assessments so they can notice if they're not doing well. Encourage open discussion about the topic to normalize it and make it easier to discuss with managers. Encourage people to take mental health days and respond positively when they say they need to.,
,,Stress and focus related,,,Stress and focus related,Depends on my comfort level,Afraid of judgement,Person was included in a layoff after being identified as having an issue,Acceptance that these issues are real,No
"I am the boss, so it’s hard to answer this question. I’ve talked about my own mental health with reports, and they with me. ","We’ve talked about depression and it’s relationship to exercise in particular. We are a pretty supportive workplace, I think.","We’ve discussed depression, and SAD, and I’ve talked about occasionally feeling somewhat bipolar",,,"We have speculated about others' mental health, especially people who are going through self-destructive episodes, or who have become unreliable or random","I would be willing to bring up a non-work-problematic issue (bad knees, say). But one which might might me a bad employee: I could imagine being hesitant","As an employer, I know that chronic health issues are a huge pain in the butt. I would worry that a potential employer of me would also feel that.","I have been the employer. I’ve had a depressive employee, and I haven’t been able to effectively handle them. It’s very difficult to find a way to help them while also finding a way for them to be productive.","I think the more open we are about mental health, the better, but I also think we need to acknowledge that poor mental health is a significant liability. Knowledge work needs people with healthy minds.","I am not sure if it’s just that people are more willing to talk about it, but I see more people with mental health issues as time goes on. I wonder about the causes of this."
,,,,,,,,,,
,,,,,,So as not discourage my potential employer,So as not discourage my potential employer,,"Talk about it, include it in healthcare packages, provide stress-relief tools and methods",No
,,,,,as a supervisor. I always coached them to seek professional help ,Not applicable ,It's labelling and stigmatising ,,We have a reasonable health system in the Netherlands ,You should first ask the country. There are big differences. 
,,,,,,fear,fear,Don't take issue into account,empaty ?,no
,,,,,,To ensure the working environment is adapted to my condition ,Depends on the feeling and the perception of such condition,,,
,,,,,,irrelevant for the job,irrelevant for the job,,,
,,,,,,,I don’t want to get prejudged. I want be treated like everyone else.,,,
,,Pain Pain Pain,,,,To be honest,Not yet,People,Empathy,
I was depressed and feeling anxiety due to work stress. My manager suggested that I should seek help and take three week off (paid) and return whenever I feel better.,There are quite a few others in my team who has been suffering from anxiety and depression. We often exchange ideas.,,,,,,,,,
,,,,,,because it could potentially hinder the result of my interview,becasue it would hinder the result of my interview,,,
,,,,,,,,,,
,,,,,,You kidding?,Are u serious?,Gossip,Recognize that all our work is mental.,
"I discussed emotional issues with ,y manager which lead to talking with the medical leave department about my mental health diagnosis. This lead to an intermittent leave. ",Only specific co-workers who I trust. I have told 3 people about my diagnosis and it’s impact on my work. ,While telling one co-worker my diagnosis she mentioned she shares a similar diagnosis. ,,,,No stigma on my physical health or coworkers. ,STIGMA,,"Discuss it more openly. Drive discussion on education and away from stigma. More actively discuss treatment. Improve benefits in this space. Ensure insurance improves its policies and pay,ents to providers. ",Thanks for all you are doing 
,,,,,,"In my country doing this can decrease the chances to get the job, but this totally depends on the company ","Doing this on my country most of the time ends up on you not getting the job, and while this depends on the company, this happens on most if not all the national companies and in a lot of international companies ",The responsibilities assigned to the person with the mental health issue were reduced and eventually the person was fired because the person was not “performing well” ,Companies should cover mental health issues and disorders on health coverage and create campaigns to encourage people to get treatment or openly talk about those ,"Thanks your doing this, you’re doing a really great job "
,,,spoke with trusted supervisor about depression,"spoke about ADHD, depression, etc., but this was an individual I had known for years and became a good friend",same response as previous,there's no way mentioning any sort of health issue would be a positive in the context of an interview,"same reasoning; health issues have no place in interview setting (this isn't necessarily how it ""should"" be, but rather how it ""is"")",employee was let go when should probably have been offered help with anxiety issues,"talk about it more.  physical health is always front & center w/ ""wellness"" programs",
,,He shared with me the story when he was diagnosed with depression on a previous job ,,,About depression ,It may interfere with future plans ,It may affect the result,"Employees being bullied to the point of start skipping job, but employer did not care ",Assurance from companies that anonymity and full support will be guaranteed ,
,,,,,,Being true is good for all,Being good is good for all,,Need hospitality and humanity,No
,,,,,,Fear of not getting the job,Fear of not getting the job,,Start caring and promote mental health care,
,,,,,Spoke to me about a love issue which turned pretty bad. (Had to go to mental hospital for a few weeks),Would increase rejection risks,The same,,Care only about individual performance ,
,,,,,,,,,,
,,,,,,Physical health is not important for the work I do and it doesn't seem to be an issue (I nothing that there were a lot of overweight/fat people for example (don't know if that is an good example of physical health issue but it sure is a predictor)),I think people would not understand it and this would play against me.,,I have no idea.,
,,,,,We had several conversations about her mental health. ,I don't want to risk discrimination ,I don't want to risk discrimination ,,,
,,,,,,Prefer not to talk about it with employers,Privacy and concern about repercussions,,"More openness and awareness of health benefits (insurance, wellness programs, etc)",
,,,,,,,,,,
in discussions about a performance improvement plan i am about to be put on following annual review i brought it up as a challenge i am facing in my work performance that i believe to have contributed to its um... bad-ness? response was to encourage me to seek accommodations if needed and to make sure i was declared as having a disability in our hr system,usually just me making self-deprecating comments or jokes which probably just make people worried,,,,,idk not sure how it would come up,"for current employer i made mention of my therapist in a rather candid cover-letter email but no specifics. in general though, i can't think of many reasons it would come up","i dont think i handled it any better than they did, in all fairness. i believe behaviors related to my mental illness to have gotten me fired at least once.  ",idk,
"We regularly speak openly in the workplace about mental needs we may have at the time, and it is never treated as anything unusual, invalid, or dangerous.","Most of us have a mental disorder or issue, so it's just a normal part of office talk.","As above, it's just a regular and normal part of conversation.",,,,I think it's important to let people know if it's something that would impact my ability to fulfill my job duties.,There's more trust involved in discussing that so I would have to trust the interviewers and know I wouldn't be discriminated against ,,"Stop putting an emphasis on the glory of overwork, classify mental health and physical health in the same type of leave reason. Also it's important to have a culture where you're not required to explain why you need leave.","I do think it's getting better in certain areas, but not all. I think heavy Dev environments are worse off than tech adjacent areas, and I wonder if it is possibly in part due to the high male population, where it's more expected to put your head down and hide your emotions."
,,,,,,,,,,
,,,,,,I'm a tech person; physical health isn't likely to impact my job prospects.,"I've financial and professional reputation security, so if my mental health means I don't get a job, then I'm glad not to be in that position. If I do get the job, we've started on a very open and honest footing.

If I didn't have financial or professional reputation security, I'd likely to be really worried about discussing my mental health.",Humans are vicious and will use mental health to slur others behind their backs.,"Attitudes towards mental health are tied in to much broader issues of whether employees are treated as humans (with kindness and compassion) or as resources (which produce profit). It's hard to change attitudes towards mental health without changing the whole culture.

A lot of tech culture in particular encourages long hours, overtime, crunch times, and other practices that promote overworking. While these business can be supportive on the surface of mental health, their practices are rarely beneficial for it.

More generally, outreach and open discussions can set examples for mental health discussions. Especially having management and team leads talking openly about their mental health can result in others feeling they have permission.",
,,Co-worker was concerned about stress and anxiety due to overwork another person was suffering from,,,,Not relevant and I wouldn't want them to count it against me,,,,
,,,,,,,,,,
,,,,,, Because its important,People should be open about it,,Need improvments,No
,Talked about difference symptoms that we had. Described what it was like to feel generalized anxiety.,,"Was having stress due to counseling clients, and took some short time off for it.",Talked about what the stress of the work was doing for my mental health.,,It's difficult to talk about things that might be perceived as limiting factors when you might need a job badly.,There is still too much stigma around it.,,Continue challenging stereotypes around mental health,
,,,,,,,,,,
I’ve been talking about taking behavioral therapy and issues around that and why I needed it ,Told them that some hard things happened in my life and what those were. Luckily they were very supportive. Mind you I’m a team lead and in a somewhat privileged position. ,Brief discussion with a coworker about their depression. Tried to emphasize as good as I can while not being able to feel what they feel ,,,, I wouldn’t want the pressure of feeling I have to hide something. ,Same. Wouldn’t want to hide. ,Issues were shut down and minimized. Thus people quit. ,Often emphasis is on results only. If anything is in the way of that people are pushed out.,
"I shared that I have PTSD as a result of my service in the Army, and my manager at the time was not only empathetic, but shared his diagnosis of generalized anxiety disorder and how he manages it.",I shared my mental health disorder with one of my coworkers after she shared with me that she was experiencing severe depression. I wanted to let her know that everything would be okay and that she's not alone in her struggle.,"Same as my response in ""p.""",,,,I would be afraid of not being offered the position regardless of my qualifications.,I would be afraid of not being offered the position regardless of my qualifications.,,Development of more support groups. I feel that this would give employees a stronger support system when they're having trouble coping with their mental health disorder/issue.,
I told them I was burnt out and needed to quit. They said okay and wished me the best.,Same as above. Told my coworkers I was burnt out and needed to quit. They also wished me the best.,,,,,"If it is an issue that may affect my work, or if I would need some special assistance from my employer because of the issue, I would mention it","Same reason. If the issue would affect my work, or if I needed some special assistance from my employer due to the issue, I would mention it.",,"Don't wait for an employee to bring up a problem. Be proactive about mental health for all employees. Bring in experts for periodic check ups and screenings for anxiety, depression, etc. Learn about and teach non-violent communication and expect team members to use those tools at all times. Do not reward overworking.",
,,,Let them know I was looking into depression treatment. The reaction was that I didn’t need to tell them but they were glad I was going.,Mutual support.,Mutual support ,,,,,
I can't describe it but my employer listen to me and understand me,,,,,,I don't know,I can't explain,I can't answer,,
I described the anxiety and stress I was feeling. My supervisor tried to help me put it into context and offered more frequent meetings. He encouraged me to see a therapist if I felt it would help me. ,I described my stress and anxiety. They worked to help me push back on the partners that were contributing to it. ,He described his depression ,,,,To prevent bias,To prevent bias,,Recognize the existence of mental health issues and provide proactive support ,
,,,,,,It shouldn't impact my chances of getting hired.,Because they will think I'm crazy.,The environment aggravated my stress and anxiety. The employer refused to do anything about it. It wasn't just me - many of my co-workers quit for the same reason.,Openly discuss the issues.,Thanks for doing this.
,,,,,,Not relevant,hell no,,I doubt there is anything that could be done that would let me trust industry or employers,
,,,,,,,,,,
,,,,,,,,,,
,,,,Only after I knew I was in a safe space I talked about almost having a burn out. So tue response was very supportive.,"In a very bad episode of depression a coworker revealed that to me, crying. I listened, offered my support. They were mostly relieved to tell me.",,,,"First: acknowledge it, and that it affects us. The hero-worker-culture is toxic. ",
,,,,,,,,,,
,"I said I had Postpartum depression and that after 2 years I’m still treated for depression.
He said he didn’t notice, looked surprised ",,,,,,"I don’t know how would they react. 
I might ask about what the company offers related to mental and phisical health",,,
,"I was feeling depressive, and that my work was not producing anything anyone would care about; my colleague was supportive, but also happens to be a friend.",,,,,I have a chronic condition/disability which can lead me to require sick days and requires accomodation.,I would be concerned about my application being rejected because of it.,"A former colleague & friend was having trouble coping with insecurities/doubt, which were compounded by the ellitist and sexist attitude of one of our managers. They literally took no action when she ended up leaving a meeting in tears, not even allowing time for us to do “damage control”.",Reducing workplace toxicity (esp. ableism); reduce needless stress & management/communication styles involving unscheduled dropping by one's office.  Not communicating the agenda of meetings scheduled on short notice is also an issue.,"I suffer from a chronic illness/disability since years, which has resulted in me encountering growing levels of ableism in my workspace, recently culminating in my boss letting me know my contract will not be renewed past next year."
,,,,,,Depends on the issue,Depends on the issue,,Be more open about it,
